"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"May",6.5,"2003-04-11",264349,500000,"en","A socially awkward veterinary assistant with a lazy eye and obsession with perfection descends into depravity after developing a crush on a boy with perfect hands.","Drama, Horror"
"Dumb and Dumberer: When Harry Met Lloyd",4.165,"2003-04-14",39267515,19000000,"en","This wacky prequel to the 1994 blockbuster goes back to the lame-brained Harry and Lloyd's days as classmates at a Rhode Island high school, where the unprincipled principal puts the pair in remedial courses as part of a scheme to fleece the school.","Comedy"
"Basic",6.5,"2003-04-18",42792561,50000000,"en","A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.","Action, Drama, Mystery, Thriller, Crime"
"Holes",6.8,"2003-04-18",71406573,20000000,"en","A wrongfully convicted boy is sent to a brutal desert detention camp where he must dig holes in order to build character. What he doesn't know is that he is digging holes in order to search for a lost treasure hidden somewhere in the camp.","Adventure, Family, Drama, Comedy"
"Blue Car",6.276,"2003-04-25",464000,1000000,"en","Meg is a gifted but emotionally scarred 18-year-old who finds solace in writing poetry. Mr. Auster, her English teacher, recognizes her talent and encourages her to enter a national poetry contest. As tension at home escalates and Meg struggles to find a way to get to the poetry finals in Florida, Auster's role in her life becomes increasingly complex.","Drama"
"Confidence",6.3,"2003-04-25",23014206,15000000,"en","What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew. It becomes clear that Lionel wasn't just any mark, he was an accountant for eccentric crime boss Winston King. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt.","Action, Comedy, Thriller, Crime, Mystery"
"Identity",7.182,"2003-04-25",90259536,28000000,"en","Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.","Mystery, Thriller"
"Memories of Murder",8.068,"2003-05-02",26000000,2800000,"ko","During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.","Crime, Drama, Thriller"
"Owning Mahowny",6.819,"2003-05-02",1271244,10000000,"en","Dan Mahowny was a rising star at the Canadian Imperial Bank of Commerce. At twenty-four he was assistant manager of a major branch in the heart of Toronto's financial district. To his colleagues he was a workaholic. To his customers, he was astute, decisive and helpful. To his friends, he was a quiet, but humorous man who enjoyed watching sports on television. To his girlfriend, he was shy but engaging. None of them knew the other side of Dan Mahowny--the side that executed the largest single-handed bank fraud in Canadian history, grossing over $10 million in eighteen months to feed his gambling obsession.","Crime, Drama, Thriller"
"The Lizzie McGuire Movie",6.301,"2003-05-02",55534455,17000000,"en","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.","Family, Comedy"
"Down with Love",6.109,"2003-05-08",20298207,35000000,"en","In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.","Comedy, Romance"
"Daddy Day Care",5.899,"2003-05-09",164433867,60000000,"en","Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.","Comedy, Family"
"The Matrix Reloaded",7.045,"2003-05-15",738599701,150000000,"en","Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.","Adventure, Action, Thriller, Science Fiction"
"Dogville",7.8,"2003-05-19",16690617,10000000,"en","A mysterious woman named Grace hides in a small mountain town from criminals who pursue her. The town is two-faced and offers to harbor Grace as long as she can make it worth their effort, so Grace works hard under the employ of various townspeople to win their favor. Tensions flare, however, and Grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of Dogville.","Crime, Drama, Thriller"
"Swimming Pool",6.505,"2003-05-21",22441323,7800000,"en","A British crime novelist travels to her publisher's upmarket summer house in Southern France to seek solitude in order to work on her next book. However, the unexpected arrival of the publisher's daughter induces complications and a subsequent crime.","Crime, Thriller"
"Bruce Almighty",6.7,"2003-05-23",484600000,80000000,"en","Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, NY, but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God - and the Almighty responds, endowing Bruce with all of His divine powers.","Fantasy, Comedy"
"The In-Laws",5.612,"2003-05-23",26800000,40000000,"en","Right before his daughter's wedding, a mild-mannered foot doctor discovers that his new in-laws are international smugglers.","Action, Comedy"
"Finding Nemo",7.823,"2003-05-30",940335536,94000000,"en","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","Animation, Family"
"The Italian Job",6.768,"2003-05-30",176070171,60000000,"en","Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.","Action, Crime"
"Wrong Turn",6.344,"2003-05-30",28650575,12600000,"en","Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.","Horror, Thriller"
"Mambo Italiano",5.969,"2003-06-06",3031801,4361898,"en","When an Italian man comes out of the closet, it affects both his life and his crazy family.","Comedy, Romance"
"Hollywood Homicide",5.3,"2003-06-09",51142659,75000000,"en","Joe Gavilan and his new partner K. C. Calden, are detectives on the beat in Tinseltown. Neither one of them really wants to be a cop, Gavilan moonlights as a real estate broker, and Calden is an aspiring actor moonlighting as a yoga instructor. When the two are assigned a big case they must work out whether they want to solve the case or follow their hearts.","Action, Adventure, Comedy, Thriller"
